Tiempo, Distancia, Error, setPoint, Control
8065,2.19,47.81,50.00,95.62
8077,2.19,47.81,50.00,95.62
8089,2.19,47.81,50.00,95.62
8101,2.62,47.38,50.00,95.62
8113,2.62,47.38,50.00,95.62
8125,2.19,47.81,50.00,95.62
8137,2.19,47.81,50.00,95.62
8149,2.60,47.40,50.00,95.62
8161,2.19,47.81,50.00,95.62
8173,2.19,47.81,50.00,95.62
8185,2.60,47.40,50.00,95.62
8197,3.09,46.91,50.00,95.62
8209,2.24,47.76,50.00,95.62
8221,2.67,47.33,50.00,95.62
8233,2.67,47.33,50.00,95.62
8245,2.72,47.28,50.00,95.62
8257,2.31,47.69,50.00,95.62
8269,2.31,47.69,50.00,95.38
8281,2.79,47.21,50.00,95.38
8293,2.38,47.62,50.00,95.38
8305,2.38,47.62,50.00,95.38
8317,3.26,46.74,50.00,95.38
8329,2.86,47.14,50.00,95.38
8341,2.91,47.09,50.00,95.38
8353,2.91,47.09,50.00,95.38
8365,3.38,46.62,50.00,95.38
8377,2.55,47.45,50.00,94.90
8389,2.62,47.38,50.00,94.90
8401,3.08,46.92,50.00,94.90
8413,3.08,46.92,50.00,94.90
8425,3.14,46.86,50.00,94.90
8437,3.14,46.86,50.00,94.90
8449,2.79,47.21,50.00,94.90
8461,2.79,47.21,50.00,94.90
8473,2.79,47.21,50.00,94.90
8485,3.26,46.74,50.00,93.47
8497,2.86,47.14,50.00,93.47
8509,3.26,46.74,50.00,93.47
8521,3.26,46.74,50.00,93.47
8533,3.26,46.74,50.00,93.47
8545,3.26,46.74,50.00,93.47
8557,3.26,46.74,50.00,93.47
8569,3.26,46.74,50.00,93.47
8581,2.79,47.21,50.00,93.47
8593,3.26,46.74,50.00,93.47
8605,3.26,46.74,50.00,93.47
8617,3.20,46.80,50.00,93.47
8629,3.20,46.80,50.00,93.47
8641,3.20,46.80,50.00,93.47
8653,2.79,47.21,50.00,93.47
8665,2.79,47.21,50.00,93.47
8677,3.20,46.80,50.00,93.47
8689,3.20,46.80,50.00,93.47
8701,3.14,46.86,50.00,93.71
8713,3.20,46.80,50.00,93.71
8725,3.62,46.38,50.00,93.71
8737,3.20,46.80,50.00,93.71
8749,2.74,47.26,50.00,93.71
8761,3.14,46.86,50.00,93.71
8773,3.20,46.80,50.00,93.71
8785,3.20,46.80,50.00,93.71
8797,3.20,46.80,50.00,93.71
8809,2.79,47.21,50.00,94.43
8821,2.79,47.21,50.00,94.43
8833,2.79,47.21,50.00,94.43
8845,2.79,47.21,50.00,94.43
8857,2.79,47.21,50.00,94.43
8869,2.79,47.21,50.00,94.43
8881,3.20,46.80,50.00,94.43
8893,2.72,47.28,50.00,94.43
8905,2.72,47.28,50.00,94.43
8917,3.14,46.86,50.00,93.71
8929,3.14,46.86,50.00,93.71
8941,2.74,47.26,50.00,93.71
8953,2.74,47.26,50.00,93.71
8965,2.74,47.26,50.00,93.71
8977,2.74,47.26,50.00,93.71
8989,2.74,47.26,50.00,93.71
9001,3.14,46.86,50.00,93.71
9013,3.14,46.86,50.00,93.71
9025,3.14,46.86,50.00,93.71
9037,3.08,46.92,50.00,93.71
9049,2.67,47.33,50.00,93.71
9061,3.08,46.92,50.00,93.71
9073,3.50,46.50,50.00,93.71
9085,3.03,46.97,50.00,93.71
9097,3.03,46.97,50.00,93.71
9109,3.03,46.97,50.00,93.71
9121,3.03,46.97,50.00,93.71
9133,3.03,46.97,50.00,93.95
9145,3.03,46.97,50.00,93.95
9157,2.60,47.40,50.00,93.95
9169,3.03,46.97,50.00,93.95
9181,3.03,46.97,50.00,93.95
9193,3.03,46.97,50.00,93.95
9205,3.03,46.97,50.00,93.95
9217,2.60,47.40,50.00,93.95
9229,3.03,46.97,50.00,93.95
9241,2.62,47.38,50.00,94.77
9253,2.62,47.38,50.00,94.77
9265,2.60,47.40,50.00,94.77
9277,3.03,46.97,50.00,94.77
9289,3.03,46.97,50.00,94.77
9301,2.60,47.40,50.00,94.77
9313,3.43,46.57,50.00,94.77
9325,3.03,46.97,50.00,94.77
9337,3.03,46.97,50.00,94.77
9349,2.96,47.04,50.00,94.09
9361,3.03,46.97,50.00,94.09
9373,3.03,46.97,50.00,94.09
9385,3.03,46.97,50.00,94.09
9397,2.62,47.38,50.00,94.09
9409,3.03,46.97,50.00,94.09
9421,2.60,47.40,50.00,94.09
9433,3.03,46.97,50.00,94.09
9445,3.03,46.97,50.00,94.09
9457,3.43,46.57,50.00,93.13
9469,2.96,47.04,50.00,93.13
9481,2.96,47.04,50.00,93.13
9493,2.55,47.45,50.00,93.13
9505,2.96,47.04,50.00,93.13
9517,2.96,47.04,50.00,93.13
9529,2.96,47.04,50.00,93.13
9541,3.38,46.62,50.00,93.13
9553,2.91,47.09,50.00,93.13
9565,2.91,47.09,50.00,94.19
9577,2.50,47.50,50.00,94.19
9589,2.91,47.09,50.00,94.19
9601,2.91,47.09,50.00,94.19
9613,2.91,47.09,50.00,94.19
9625,2.91,47.09,50.00,94.19
9637,2.91,47.09,50.00,94.19
9649,2.91,47.09,50.00,94.19
9661,2.50,47.50,50.00,94.19
9673,2.48,47.52,50.00,95.04
9685,2.91,47.09,50.00,95.04
9697,2.48,47.52,50.00,95.04
9709,2.91,47.09,50.00,95.04
9721,2.91,47.09,50.00,95.04
9733,2.91,47.09,50.00,95.04
9745,2.91,47.09,50.00,95.04
9757,3.38,46.62,50.00,95.04
9769,2.55,47.45,50.00,95.04
9781,3.38,46.62,50.00,93.24
9793,2.96,47.04,50.00,93.24
